Source,Target,Type,Id,Label,Weight
1,75,Directed,114064,,1
1,76,Directed,114065,,1
1,77,Directed,114066,,1
1,78,Directed,114067,,1
1,79,Directed,114068,,1
1,80,Directed,114069,,1
1,81,Directed,114070,,1
1,82,Directed,114071,,1
1,83,Directed,114072,,1
1,84,Directed,114073,,1
1,85,Directed,114074,,1
1,86,Directed,114075,,1
1,87,Directed,114076,,1
1,88,Directed,114077,,1
1,89,Directed,114078,,1
1,90,Directed,114079,,1
1,91,Directed,114080,,1
1,92,Directed,114081,,1
1,93,Directed,114082,,1
1,94,Directed,114083,,1
1,95,Directed,114084,,1
1,96,Directed,114085,,1
1,97,Directed,114086,,1
1,98,Directed,114087,,1
1,99,Directed,114088,,1
1,100,Directed,114089,,1
1,101,Directed,114090,,1
1,102,Directed,114091,,1
1,103,Directed,114092,,1
1,104,Directed,114093,,1
1,105,Directed,114094,,1
1,106,Directed,114095,,1
1,107,Directed,114096,,1
1,108,Directed,114097,,1
1,109,Directed,114098,,1
1,110,Directed,114099,,1
1,111,Directed,114100,,1
1,112,Directed,114101,,1
1,113,Directed,114102,,1
1,114,Directed,114103,,1
1,115,Directed,114104,,1
1,116,Directed,114105,,1
1,117,Directed,114106,,1
1,118,Directed,114107,,1
1,119,Directed,114108,,1
1,120,Directed,114109,,1
1,121,Directed,114110,,1
1,122,Directed,114111,,1
1,123,Directed,114112,,1
1,124,Directed,114113,,1
1,125,Directed,114114,,1
1,126,Directed,114115,,1
1,127,Directed,114116,,1
1,128,Directed,114117,,1
1,129,Directed,114118,,1
1,130,Directed,114119,,1
1,131,Directed,114120,,1
1,132,Directed,114121,,1
1,133,Directed,114122,,1
1,134,Directed,114123,,1
1,135,Directed,114124,,1
1,136,Directed,114125,,1
1,137,Directed,114126,,1
1,138,Directed,114127,,1
1,139,Directed,114128,,1
1,140,Directed,114129,,1
1,141,Directed,114130,,1
1,142,Directed,114131,,1
1,143,Directed,114132,,1
1,144,Directed,114133,,1
1,145,Directed,114134,,1
1,146,Directed,114135,,1
1,147,Directed,114136,,1
1,148,Directed,114137,,1
1,149,Directed,114138,,1
1,150,Directed,114139,,1
1,151,Directed,114140,,1
1,152,Directed,114141,,1
1,153,Directed,114142,,1
1,154,Directed,114143,,1
1,155,Directed,114144,,1
1,156,Directed,114145,,1
1,157,Directed,114146,,1
1,158,Directed,114147,,1
1,159,Directed,114148,,1
1,160,Directed,114149,,1
1,161,Directed,114150,,1
1,162,Directed,114151,,1
1,163,Directed,114152,,1
1,164,Directed,114153,,1
1,165,Directed,114154,,1
1,166,Directed,114155,,1
1,167,Directed,114156,,1
1,168,Directed,114157,,1
1,169,Directed,114158,,1
1,170,Directed,114159,,1
1,171,Directed,114160,,1
1,172,Directed,114161,,1
1,173,Directed,114162,,1
1,174,Directed,114163,,1
1,175,Directed,114164,,1
1,176,Directed,114165,,1
1,177,Directed,114166,,1
1,178,Directed,114167,,1
1,179,Directed,114168,,1
1,180,Directed,114169,,1
1,181,Directed,114170,,1
1,182,Directed,114171,,1
1,183,Directed,114172,,1
1,184,Directed,114173,,1
1,185,Directed,114174,,1
