Source,Target,Type,Weight
565,1454,Directed,1
565,2033,Directed,1
565,3234,Directed,1
565,275,Directed,1
565,277,Directed,1
565,1457,Directed,1
565,3238,Directed,1
565,3239,Directed,1
565,1463,Directed,1
565,2634,Directed,1
565,1466,Directed,1
565,845,Directed,1
565,3825,Directed,1
565,3247,Directed,1
565,1469,Directed,1
565,3828,Directed,1
565,847,Directed,1
565,3254,Directed,1
565,853,Directed,1
565,2640,Directed,1
565,856,Directed,1
565,2642,Directed,1
565,287,Directed,1
565,2646,Directed,1
565,3837,Directed,1
565,2054,Directed,1
565,1483,Directed,1
565,861,Directed,1
565,2648,Directed,1
565,2056,Directed,1
565,4406,Directed,1
565,1484,Directed,1
565,293,Directed,1
565,3263,Directed,1
565,2652,Directed,1
565,1486,Directed,1
565,2059,Directed,1
565,3845,Directed,1
565,2655,Directed,1
565,867,Directed,1
565,3275,Directed,1
565,308,Directed,1
565,3280,Directed,1
565,310,Directed,1
565,3852,Directed,1
565,3853,Directed,1
565,4422,Directed,1
565,4424,Directed,1
565,878,Directed,1
565,880,Directed,1
565,1501,Directed,1
565,3291,Directed,1
565,2069,Directed,1
565,883,Directed,1
565,2071,Directed,1
565,3295,Directed,1
565,2073,Directed,1
565,3858,Directed,1
565,1509,Directed,1
565,2076,Directed,1
565,2079,Directed,1
565,3301,Directed,1
565,2672,Directed,1
565,4431,Directed,1
565,319,Directed,1
565,2675,Directed,1
565,3868,Directed,1
565,4435,Directed,1
565,1513,Directed,1
565,2085,Directed,1
565,2092,Directed,1
565,1520,Directed,1
565,327,Directed,1
565,2094,Directed,1
565,3314,Directed,1
565,1526,Directed,1
565,328,Directed,1
565,3318,Directed,1
565,334,Directed,1
565,1530,Directed,1
565,336,Directed,1
565,4451,Directed,1
565,1532,Directed,1
565,911,Directed,1
565,2691,Directed,1
565,3325,Directed,1
565,2113,Directed,1
565,2115,Directed,1
565,2696,Directed,1
565,4453,Directed,1
565,344,Directed,1
565,1541,Directed,1
565,922,Directed,1
565,2121,Directed,1
565,2122,Directed,1
565,925,Directed,1
565,2701,Directed,1
565,2123,Directed,1
565,927,Directed,1
565,347,Directed,1
565,928,Directed,1
565,1547,Directed,1
565,1549,Directed,1
565,4456,Directed,1
565,1551,Directed,1
565,3899,Directed,1
565,3901,Directed,1
565,1555,Directed,1
565,2709,Directed,1
565,2135,Directed,1
565,3906,Directed,1
565,2136,Directed,1
565,940,Directed,1
565,1558,Directed,1
565,2140,Directed,1
565,941,Directed,1
565,943,Directed,1
565,2718,Directed,1
565,2719,Directed,1
565,368,Directed,1
565,4474,Directed,1
565,3913,Directed,1
565,3342,Directed,1
565,373,Directed,1
565,372,Directed,1
565,2146,Directed,1
565,2147,Directed,1
565,3914,Directed,1
565,2725,Directed,1
565,381,Directed,1
565,2151,Directed,1
565,1568,Directed,1
565,2152,Directed,1
565,384,Directed,1
565,957,Directed,1
565,958,Directed,1
565,2730,Directed,1
565,1572,Directed,1
565,3919,Directed,1
565,959,Directed,1
565,3921,Directed,1
565,2160,Directed,1
565,389,Directed,1
565,2163,Directed,1
565,2735,Directed,1
565,965,Directed,1
565,3925,Directed,1
565,1577,Directed,1
565,2741,Directed,1
565,2743,Directed,1
565,969,Directed,1
565,4491,Directed,1
565,1583,Directed,1
565,2169,Directed,1
565,3931,Directed,1
565,2746,Directed,1
565,2173,Directed,1
565,3354,Directed,1
565,397,Directed,1
565,3936,Directed,1
565,3355,Directed,1
565,3938,Directed,1
565,2748,Directed,1
565,4499,Directed,1
565,2749,Directed,1
565,2752,Directed,1
565,2181,Directed,1
565,979,Directed,1
565,405,Directed,1
565,408,Directed,1
565,2185,Directed,1
565,982,Directed,1
565,4505,Directed,1
565,2189,Directed,1
565,1595,Directed,1
565,986,Directed,1
565,412,Directed,1
565,2194,Directed,1
565,989,Directed,1
565,3954,Directed,1
565,991,Directed,1
565,2198,Directed,1
565,4511,Directed,1
565,3381,Directed,1
565,4514,Directed,1
565,4515,Directed,1
565,4516,Directed,1
565,2769,Directed,1
565,421,Directed,1
565,4519,Directed,1
565,2203,Directed,1
565,998,Directed,1
565,1610,Directed,1
565,999,Directed,1
565,1000,Directed,1
565,3387,Directed,1
565,3388,Directed,1
565,2204,Directed,1
565,1005,Directed,1
565,2207,Directed,1
565,2208,Directed,1
565,2777,Directed,1
565,2211,Directed,1
565,4528,Directed,1
565,4530,Directed,1
565,2213,Directed,1
565,4532,Directed,1
