Id,Label,group,attribute,modularity_class,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
364,placebo,word,24,3,27,5,0.372306,0.389422,357.696638
365,show,word,175,3,162,4,0.444069,0.467553,52226.040056
366,mean,word,74,90,64,5,0.417161,0.438285,13025.787104
367,score,word,30,90,37,5,0.377299,0.395412,3547.964141
368,significant,word,103,3,92,5,0.422895,0.445282,23352.20834
369,common,word,147,3,128,4,0.432177,0.455561,35842.700464
370,vomiting,word,33,0,30,5,0.360359,0.376423,3152.308739
371,dry,word,17,97,10,6,0.319712,0.32806,211.573486
372,weakness,word,11,97,8,5,0.328513,0.338048,132.394938
373,frequently,word,39,0,33,5,0.394247,0.413992,6785.122777
374,abdominal,word,14,97,11,5,0.342375,0.354746,66.508526
375,headache,word,48,97,46,5,0.370066,0.388844,2507.356791
376,fatigue,word,9,3,6,6,0.302985,0.311859,93.638551
377,weight,word,34,3,33,5,0.367511,0.385023,3216.876371
378,dizziness,word,23,97,24,5,0.348393,0.363394,881.666737
379,nervousness,word,5,97,4,5,0.316288,0.32571,58.631812
380,anxiety,word,27,3,24,5,0.347328,0.362042,1083.526735
381,symptom,word,94,3,95,5,0.400638,0.42407,19793.256456
382,urinary,word,12,0,10,5,0.341327,0.353702,1008.036288
383,retention,word,10,0,4,6,0.276649,0.284327,13.969149
384,despite,word,60,82,50,5,0.410351,0.430921,4729.638629
385,tend,word,29,3,17,5,0.364517,0.380199,443.685185
386,itching,word,13,97,14,5,0.34864,0.362243,120.689961
387,rare,word,66,97,71,5,0.40651,0.428311,13375.681518
388,serotonin,word,24,0,23,5,0.351628,0.36582,2902.040154
389,syndrome,word,59,3,60,5,0.378169,0.398406,9866.114701
390,exist,word,51,4,32,5,0.379262,0.397548,3200.379228
391,advise,word,13,3,10,5,0.355073,0.368969,81.244549
392,exercise,word,13,106,9,5,0.333221,0.342125,447.387285
393,caution,word,16,0,10,5,0.354604,0.368388,682.771893
394,combine,word,44,0,26,5,0.378048,0.396462,570.471571
395,selective,word,37,0,26,5,0.365216,0.381561,2469.882383
396,reuptake,word,11,0,8,6,0.299316,0.309974,254.80352
397,inhibitor,word,38,0,24,5,0.352657,0.367409,2348.215356
398,harm,word,23,3,15,5,0.376194,0.393316,162.836158
399,food,word,146,0,125,4,0.428696,0.452077,45207.077373
400,fda,word,77,0,66,5,0.401864,0.423373,15488.514378
401,begin,word,116,106,102,5,0.43262,0.454466,22270.467657
402,investigate,word,21,102,17,5,0.362304,0.37729,1465.537175
403,doctor,word,48,0,52,5,0.388951,0.409201,8733.652725
404,kingdom,word,49,106,39,5,0.386432,0.405866,2203.848257
405,warn,word,17,3,14,5,0.373011,0.389837,679.443973
406,september,word,54,78,51,5,0.393066,0.413653,13476.465878
407,april,word,59,78,44,5,0.391503,0.411664,1211.983817
408,die,word,50,3,43,5,0.388849,0.408693,5513.840021
409,seriously,word,5,3,1,6,0.254612,0.259359,0
410,ill,word,14,3,11,5,0.341564,0.353724,6586.853618
411,separate,word,32,3,25,5,0.384495,0.402951,2739.506885
412,accidental,word,19,3,13,5,0.360645,0.375679,62.410942
413,exposure,word,41,0,29,5,0.381811,0.400353,1891.532128
414,dangerous,word,23,0,11,5,0.362282,0.378066,132.224885
415,sensitivity,word,19,0,14,5,0.35623,0.370795,459.724367
416,carbon,word,47,4,47,5,0.35761,0.373489,8235.247163
417,dioxide,word,14,4,8,5,0.330351,0.339738,36.117153
418,breathing,word,28,97,29,5,0.352762,0.367053,2285.714833
419,brain,word,197,97,208,4,0.427579,0.455745,135839.723572
420,injury,word,61,3,52,4,0.389927,0.410332,9968.562906
421,airway,word,10,3,9,5,0.3236,0.334422,249.520428
422,secure,word,13,90,10,6,0.326516,0.335585,215.493974
423,tube,word,18,97,17,5,0.34387,0.355525,1177.830217
424,specific,word,73,0,78,4,0.411953,0.433906,22228.225034
425,group,word,252,82,250,4,0.456209,0.482394,176473.154052
426,sleep,word,42,3,39,5,0.374762,0.393144,6406.382697
427,apnea,word,7,3,8,6,0.30554,0.314816,41.343885
428,preparation,word,34,0,27,5,0.354158,0.368032,2416.059367
429,delay,word,12,78,8,5,0.339541,0.349848,97.000569
430,sudden,word,14,82,11,5,0.352762,0.366416,95.925995
431,hypothesis,word,5,3,1,5,0.301408,0.311235,0
432,related,word,77,3,67,4,0.403925,0.42554,14798.111565
433,socalled,word,7,1,0,0,0,0,0
434,wooden,word,6,3,4,5,0.323441,0.333661,28.158819
435,chest,word,6,3,7,5,0.319332,0.329242,35.548998
436,complete,word,52,97,39,5,0.383771,0.40281,4772.101365
437,failure,word,91,3,81,5,0.387675,0.409418,17146.304557
438,thoracic,word,5,97,6,5,0.324525,0.333943,12.681698
439,explain,word,22,97,13,5,0.33919,0.35037,732.212618
440,detail,word,10,97,3,5,0.29372,0.302539,15.091753
441,section,word,46,106,45,5,0.398718,0.418958,7334.666368
442,bolus,word,11,97,12,5,0.332227,0.34252,19.943657
443,cord,word,44,97,39,5,0.360271,0.376285,4358.491388
444,ventilation,word,6,2,0,0,0,0,0
445,exact,word,8,0,2,6,0.279225,0.28666,0
446,mechanism,word,64,0,53,5,0.377372,0.397026,10548.208833
447,unknown,word,19,97,16,5,0.355586,0.369753,2189.974694
448,neuromuscular,word,10,4,9,5,0.345904,0.359503,232.71829
449,blocker,word,5,102,2,6,0.300244,0.308718,0
450,prominent,word,22,90,13,5,0.363508,0.379383,111.710258
451,believe,word,42,3,32,5,0.375167,0.392675,1545.083474
452,main,word,59,106,37,5,0.38422,0.402974,2178.762835
453,possibly,word,14,0,10,5,0.337543,0.349532,208.379551
454,activation,word,19,0,11,5,0.34743,0.361675,204.456041
455,cholinergic,word,6,0,1,6,0.295986,0.305787,0
456,unique,word,26,0,17,5,0.353713,0.367852,4009.93796
457,powerful,word,10,0,4,5,0.338801,0.350804,56.158346
458,today,word,28,106,17,5,0.376026,0.39324,1113.91662
459,comprise,word,13,78,3,6,0.318763,0.328396,4.073974
460,mild,word,38,97,39,5,0.373648,0.392142,3342.779218
461,less,word,10,102,4,5,0.321155,0.332033,48.348988
462,degree,word,37,97,28,5,0.358717,0.373988,4172.235744
463,user,word,78,0,84,5,0.405005,0.427597,20296.06924
464,adopt,word,36,106,33,5,0.377927,0.39625,1399.892325
465,nod,word,8,0,6,5,0.351607,0.365143,77.849705
466,later,word,99,82,80,5,0.41543,0.437509,23591.279878
467,note,word,52,82,30,4,0.392857,0.412068,2968.269235
468,happen,word,14,106,3,6,0.285832,0.293463,5201.354959
469,vary,word,58,82,64,5,0.40797,0.42944,7644.445609
470,extreme,word,12,97,6,5,0.343131,0.35443,199.531474
471,sign,word,41,106,27,5,0.373742,0.391214,3904.677982
472,fold,word,18,3,15,5,0.347307,0.360363,1031.302206
473,functional,word,33,4,27,5,0.356703,0.371585,6249.820084
474,disability,word,15,3,11,5,0.354796,0.36887,237.167689
475,drive,word,37,3,32,5,0.390416,0.409779,1667.793989
476,mental,word,43,3,25,5,0.370275,0.387405,428.409151
477,socioeconomic,word,9,3,8,6,0.315579,0.32411,93.517079
478,status,word,36,78,28,5,0.38186,0.400243,5363.672574
479,typically,word,77,97,63,5,0.397751,0.419237,9525.246194
480,pose,word,9,90,3,6,0.288921,0.296713,10.621407
481,human,word,261,82,236,4,0.450366,0.477019,136984.343384
482,require,word,135,97,136,5,0.437005,0.460152,35377.232179
483,toxicity,word,58,3,63,5,0.390985,0.412344,10270.620376
484,unpredictable,word,5,3,3,5,0.312011,0.320258,0.763808
485,attribute,word,14,3,9,5,0.364562,0.379307,450.337745
486,solely,word,7,0,3,5,0.318351,0.327882,54.449333
487,occur,word,167,97,190,4,0.444503,0.469443,78907.465608
488,serum,word,14,3,10,5,0.331742,0.341377,6126.382487
489,concentration,word,118,3,99,4,0.425209,0.447605,23203.781864
490,gml,word,7,102,9,5,0.329117,0.338759,73.220036
491,range,word,80,102,68,5,0.393669,0.415154,8950.366956
492,approximately,word,68,106,64,5,0.407239,0.42881,7211.864633
493,ngml,word,6,3,5,5,0.331091,0.34094,5.477441
494,great,word,115,106,94,5,0.415957,0.438835,20333.451162
495,fatality,word,5,97,2,5,0.315528,0.323805,0
496,involve,word,116,97,104,4,0.429694,0.451936,32263.858157
497,clear,word,18,101,12,5,0.35367,0.367056,993.727834
498,correlation,word,12,3,9,5,0.352131,0.365501,207.433285
499,mixture,word,20,3,15,5,0.34373,0.35511,1015.860939
500,fatal,word,58,3,58,5,0.396283,0.417355,5070.081682
501,magnitude,word,11,0,11,5,0.344311,0.356049,472.787166
502,extremely,word,22,97,16,5,0.366781,0.382947,879.942709
503,completely,word,23,82,19,5,0.351293,0.364144,1759.406442
504,partially,word,9,0,4,5,0.340128,0.351645,67.621166
505,july,word,83,106,83,5,0.401018,0.423529,22056.080888
506,product,word,138,0,137,4,0.420756,0.44546,67416.45284
507,regulatory,word,11,78,11,5,0.35291,0.366083,182.98529
508,agency,word,77,78,64,5,0.395805,0.417087,10094.374147
509,issue,word,133,78,123,5,0.41965,0.443872,31347.9098
510,warning,word,24,0,26,5,0.36409,0.379905,1288.960093
511,potential,word,94,0,93,5,0.393459,0.416466,29674.581082
512,lifethreatening,word,14,97,14,5,0.350418,0.364373,248.100683
513,keep,word,11,106,3,6,0.28335,0.291107,14.532396
514,away,word,29,106,10,6,0.334106,0.344766,418.535988
515,analog,word,21,0,11,5,0.349609,0.362152,764.645435
516,previous,word,26,106,21,5,0.36286,0.377831,755.340836
517,illicitly,word,13,0,10,5,0.355929,0.370329,8.459778
518,public,word,202,78,199,5,0.440624,0.466839,89159.154581
519,concern,word,60,78,53,5,0.407717,0.428509,3652.070363
520,canada,word,145,106,141,5,0.424079,0.448914,48633.70243
521,province,word,158,106,148,5,0.417249,0.44311,59332.389943
522,british,word,262,106,254,5,0.445509,0.473991,140765.036818
523,columbia,word,189,106,168,5,0.419353,0.446177,47742.325662
524,average,word,93,106,93,5,0.405701,0.428805,18653.908642
525,day,word,242,97,245,5,0.456386,0.482301,115205.685246
526,january,word,127,78,124,5,0.418639,0.44287,54890.834116
527,start,word,83,90,69,5,0.419382,0.440472,10564.302634
528,way,word,47,0,36,5,0.382083,0.400807,1934.518198
529,benzodiazepine,word,29,3,29,5,0.38122,0.400198,671.357606
530,contamination,word,8,3,6,5,0.332564,0.34254,257.856568
531,methamphetamine,word,10,0,11,5,0.352657,0.365978,42.324807
532,ketamine,word,10,4,8,5,0.314704,0.325822,262.495111
533,lace,word,5,3,3,5,0.335969,0.348234,4.698526
534,far,word,35,106,28,5,0.380483,0.39862,1903.403558
535,mexico,word,52,82,44,5,0.379067,0.398036,10592.995134
536,china,word,124,82,123,5,0.422049,0.446171,45719.108691
537,country,word,410,82,438,4,0.476948,0.508704,325299.569194
538,substance,word,171,3,163,4,0.435555,0.460245,45035.693221
539,traffic,word,59,106,62,5,0.399932,0.421122,7981.820463
540,directly,word,48,0,36,5,0.373247,0.391186,3532.232471
541,india,word,59,82,61,5,0.404977,0.426082,6674.034846
542,emerge,word,22,106,20,5,0.385298,0.403341,643.556313
543,finished,word,5,0,3,5,0.327984,0.338703,3.55794
544,powder,word,26,0,23,5,0.351544,0.364709,998.840383
545,precursor,word,40,0,33,5,0.370252,0.388065,3339.76855
546,chemical,word,151,4,146,5,0.410151,0.435957,57406.737463
547,illicit,word,43,0,29,5,0.37424,0.391863,606.780025
